timestamp,count,title,deadline
2025-03-21 11:13:05,81,"Stop ""gender critical beliefs"" being protected under the Equality Act",2025-09-20
2025-03-24 16:09:36,342,"Stop ""gender critical beliefs"" being protected under the Equality Act",2025-09-20
2025-03-26 18:16:35,396,"Stop ""gender critical beliefs"" being protected under the Equality Act",2025-09-20
2025-03-26 18:27:10,396,"Stop ""gender critical beliefs"" being protected under the Equality Act",2025-09-20
2025-03-26 19:06:00,397,"Stop ""gender critical beliefs"" being protected under the Equality Act",2025-09-20
2025-04-20 14:08:24,1987,"Stop ""gender critical beliefs"" being protected under the Equality Act",2025-09-20
